"","lat","lng","name","chem"
"61",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","POLYCYCLIC AROMATIC COMPOUNDS"
"62",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","MERCURY COMPOUNDS"
"63",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)"
"64",35.307037,-101.559419,"US DOE PANTEX PLANT","LEAD"
"65",31.337222,-85.733889,"US ARMY AVIATION CENTER OF EXCELLENCE & FT RUCKER FIRING RNG","LEAD COMPOUNDS"
"66",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","ARSENIC COMPOUNDS"
"67",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","ZINC COMPOUNDS"
"68",48.344219,-122.6637,"US NAVY NAS WHIDBEY ISLAND AULT FIELD","LEAD"
"69",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","POLYCYCLIC AROMATIC COMPOUNDS"
"70",41.16408,-104.82539,"US DOD USAF WYOMING ANG","ETHYLBENZENE"
"71",32.686011,-117.239742,"US NAVAL SUBMARINE BASE SAN DIEGO","NAPHTHALENE"
"72",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","DIOXIN AND DIOXIN-LIKE COMPOUNDS"
"73",45.836111,-119.45,"US ARMY NATIONAL GUARD UMATILLA TRAINING CENTER RANGES","LEAD"
"74",34.1064,-117.235886,"US FOREST SERVICE AIR TANKER BASE","AMMONIA"
"75",29.82798,-90.02213,"US NAVY NAVAL AIR STATION JOINT RESERVE BASE NEW ORLEANS","NAPHTHALENE"
"76",38.753333,-104.765556,"US ARMY FORT CARSON (CANTONMENT)","COPPER"
"77",42.18846,-72.54072,"US DOD USAF WESTOVER ARB","BENZENE"
"78",31.646952,-81.855569,"FEDERAL CORRECTIONAL INSTITUTION JESUP","LEAD"
"79",30.408569,-89.059628,"US DOD USAF CRTC GULFPORT","NAPHTHALENE"
"80",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","ARSENIC COMPOUNDS"
"81",38.863392,-94.546406,"US DOE'S KANSAS CITY NATIONAL SECURITY CAMPUS (KCNSC)","LEAD"
"82",36.940278,-76.300278,"US NAVY NAVAL STATION NORFOLK","NAPHTHALENE"
"83",44.05452,-75.79592,"US ARMY FORT DRUM","LEAD"
"84",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","DIBUTYL PHTHALATE"
"85",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","NITRATE COMPOUNDS"
"86",48.432192,-101.360254,"US DOD USAF MINOT AFB","LEAD"
"87",33.54,-112.3567,"US DOD USAF BARRY M GOLDWATER RANGE","PHOSPHORUS (YELLOW OR WHITE)"
"88",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","POLYCYCLIC AROMATIC COMPOUNDS"
"89",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)"
"90",32.01785,-81.126053,"HUNTER ARMY AIRFIELD FIRING RANGES","LEAD"
"91",46.2779,-119.275,"US DOE HANFORD SITE","LEAD"
"92",29.688568,-98.562424,"US DOD USAF CAMP BULLIS RANGES","LEAD COMPOUNDS"
"93",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","BARIUM COMPOUNDS"
"94",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","MANGANESE COMPOUNDS"
"95",33.54,-112.3567,"US DOD USAF BARRY M GOLDWATER RANGE","LEAD COMPOUNDS"
"96",33.54,-112.3567,"US DOD USAF BARRY M GOLDWATER RANGE","COPPER"
"97",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","ETHYLENE GLYCOL"
"98",34.9,-76.8917,"U.S. MARINE CORPS CHERRY POINT AIR STATION","TOLUENE"
"99",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","DIBUTYL PHTHALATE"
"100",37.120138,-88.811111,"US DOE PADUCAH SITE","CHLORINE"
"101",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)"
"102",32.471698,-80.722536,"US MARINE CORPS MCAS BEAUFORT STATION (STATION)","LEAD"
"103",40.220029,-112.749599,"US ARMY DUGWAY PROVING GROUND","LEAD"
"104",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","POLYCYCLIC AROMATIC COMPOUNDS"
"105",29.7475,-94.2383,"US DOE BIG HILL SPR SITE","BENZENE"
"106",35.349475,-77.968849,"U.S. DOD, USAF, SEYMOUR JOHNSON AFB","NAPHTHALENE"
"107",46.125401,-123.94578,"US ARMY NATIONAL GUARD CAMP RILEA RANGES","LEAD"
"108",32.686011,-117.239742,"US NAVAL SUBMARINE BASE SAN DIEGO","LEAD"
"109",39.893054,-75.178636,"PHILADELPHIA NAVAL SHIPYARD","COPPER"
"110",36.906111,-76.147778,"US NAVY JOINT EXPEDITIONARY LITTLE CREEK BASE","LEAD COMPOUNDS"
"111",30.391111,-81.401667,"U.S. NAVY NAVAL STATION MAYPORT","LEAD"
"112",31.359389,-97.667194,"US ARMY FORT HOOD RANGE FACILITY","LEAD COMPOUNDS"
"113",63.900543,-145.726776,"US ARMY DONNELLY TRAINING AREA","LEAD"
"114",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","VANADIUM COMPOUNDS"
"115",39.8071,-84.0697,"US DOD USAF WRIGHT-PATTERSON AFB OH","BENZENE"
"116",40.66825,-105.039128,"NATIONAL INSTITUTE OF STANDARDS & TECHNOLOGY WWV/WWVB","POLYCHLORINATED BIPHENYLS"
"117",33.306669,-117.3408,"U.S. MARINE CORPS MCB CAMP PENDLETON","COPPER"
"118",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","LEAD COMPOUNDS"
"119",32.882236,-117.144252,"US MARINE CORPS AIR STATION MIRAMAR","NAPHTHALENE"
"120",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY)"
"121",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","NAPHTHALENE"
"122",33.589254,-79.878534,"FEDERAL CORRECTIONAL INSTITUTION WILLIAMSBURG","LEAD"
"123",35.3778,-86.0456,"US DOD USAF ARNOLD AFB","LEAD"
"124",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","HYDROGEN FLUORIDE"
"125",37.93581,-75.469901,"US NASA GSFC WALLOPS FLIGHT FACILITY","LEAD"
"126",37.180556,-80.541111,"US ARMY RADFORD ARMY AMMUNITION PLANT","NITRATE COMPOUNDS"
"127",35.22045,-85.09757,"US TVA SEQUOYAH NUCLEAR PLANT","LEAD"
"128",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","MERCURY COMPOUNDS"
"129",38.270694,-76.419444,"US NAVAL AIR STATION PATUXENT RIVER (RANGE ACTIVITIES)","LEAD"
"130",34.9,-76.8917,"U.S. MARINE CORPS CHERRY POINT AIR STATION","LEAD COMPOUNDS"
"131",30.357222,-87.283054,"U.S. NAVY NAVAL AIR STATION PENSACOLA","NAPHTHALENE"
"132",29.968551,-81.969262,"US ARMY NATIONAL GUARD CAMP BLANDING RANGES","LEAD"
"133",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","MANGANESE COMPOUNDS"
"134",32.882236,-117.144252,"US MARINE CORPS AIR STATION MIRAMAR","LEAD"
"135",38.257252,-122.80118,"US COAST GUARD TRAINING CENTER PETALUMA","LEAD"
"136",44.632533,-84.776026,"US ARMY NATIONAL GUARD CAMP GRAYLING JMTC SOUTH","COPPER"
"137",36.8,-115.966667,"US DOE NNSA/NFO NEVADA NATIONAL SECURITY SITE","LEAD"
"138",21.348472,-157.944147,"JOINT BASE PEARL HARBOR-HICKAM HAWAII","NAPHTHALENE"
"139",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","COPPER"
"140",44.05452,-75.79592,"US ARMY FORT DRUM","LEAD COMPOUNDS"
"141",33.306669,-117.3408,"U.S. MARINE CORPS MCB CAMP PENDLETON","LEAD COMPOUNDS"
"142",39.893054,-75.178636,"PHILADELPHIA NAVAL SHIPYARD","MANGANESE"
"143",33.306669,-117.3408,"U.S. MARINE CORPS MCB CAMP PENDLETON","MANGANESE"
"144",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","XYLENE (MIXED ISOMERS)"
"145",42.18846,-72.54072,"US DOD USAF WESTOVER ARB","ETHYLBENZENE"
"146",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","LEAD COMPOUNDS"
"147",32.9011,-97.34888,"US BUREAU OF ENGRAVING & PRINTING WESTERN CURRENCY FACILIT","LEAD"
"148",39.47491,-118.77797,"US NAVAL AIR STATION FALLON BRAVO 20","ALUMINUM (FUME OR DUST)"
"149",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)"
"150",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","MERCURY COMPOUNDS"
"151",32.72943,-117.20893,"US CBP BORDER PATROL FIREARMS RANGE BE # CA0180","LEAD"
"152",37.215747,-76.522996,"US NAVY NWSY DEFENSE FUEL SUPPLY POINT YORKTOWN","NAPHTHALENE"
"153",24.565474,-81.795547,"US DOD NAS KEY WEST","NAPHTHALENE"
"154",41.127622,-112.02051,"US DOD USAF HILL AFB","ETHYLBENZENE"
"155",31.65922,-98.9579,"US ARMY NATIONAL GUARD CAMP BOWIE RANGES","LEAD"
"156",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","MERCURY COMPOUNDS"
"157",28.4701,-80.5751,"US AIR FORCE PATRICK AFB FL","LEAD"
"158",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","MANGANESE COMPOUNDS"
"159",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","THALLIUM COMPOUNDS"
"160",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","VANADIUM COMPOUNDS"
"161",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","LEAD COMPOUNDS"
"162",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)"
"163",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","POLYCYCLIC AROMATIC COMPOUNDS"
"164",32.370952,-103.798227,"US DOE WASTE ISOLATION PILOT PLANT","TRICHLOROETHYLENE"
"165",47.538112,-116.137573,"US EPA FUND-LEAD SUPERFUND SITE/BUNKER HILL CTP","MANGANESE COMPOUNDS"
"166",32.882236,-117.144252,"US MARINE CORPS AIR STATION MIRAMAR","LEAD"
"167",63.900543,-145.726776,"US ARMY DONNELLY TRAINING AREA","ALUMINUM (FUME OR DUST)"
"168",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","LEAD COMPOUNDS"
"169",34.9,-76.8917,"U.S. MARINE CORPS CHERRY POINT AIR STATION","ETHYLBENZENE"
"170",38.543888,-89.852301,"US AIR FORCE/SCOTT AIR FORCE BASE","XYLENE (MIXED ISOMERS)"
"171",31.55666,-81.56944,"US MARINE CORPS MCAS BEAUFORT TOWNSEND BOMBING RANGE","LEAD"
"172",33.754737,-118.0648,"U.S. NAVY NAVAL WEAPONS STATION SEAL BEACH","LEAD"
"173",41.56643,-75.40831,"US PENITENTIARY CANAAN","LEAD"
"174",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","DIOXIN AND DIOXIN-LIKE COMPOUNDS"
"175",28.4701,-80.5751,"US AIR FORCE PATRICK AFB FL","NAPHTHALENE"
"176",35.349475,-77.968849,"U.S. DOD, USAF, SEYMOUR JOHNSON AFB","LEAD"
"177",38.753333,-104.765556,"US ARMY FORT CARSON (CANTONMENT)","NITROGLYCERIN"
"178",47.538112,-116.137573,"US EPA FUND-LEAD SUPERFUND SITE/BUNKER HILL CTP","LEAD COMPOUNDS"
"179",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","COPPER COMPOUNDS"
"180",35.933333,-84.396667,"US DOE EAST TENNESSEE TECHNOLOGY PARK","DIISOCYANATES"
"181",37.069999,-76.358611,"U.S. DOD, USAF, JOINT BASE LANGLEY EUSTIS - LANGLEY AFB","ETHYLBENZENE"
"182",36.3163,-86.3974,"US TVA GALLATIN FOSSIL PLANT","HYDROGEN FLUORIDE"
"183",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","NAPHTHALENE"
"184",36.3163,-86.3974,"US TVA GALLATIN FOSSIL PLANT","LEAD COMPOUNDS"
"185",36.906111,-76.147778,"US NAVY JOINT EXPEDITIONARY LITTLE CREEK BASE","NAPHTHALENE"
"186",37.4189,-77.4485,"US DEFENSE LOGISTICS AGENCY DEFENSE SUPPLY CENTER RICHMOND","DICHLORODIFLUOROMETHANE"
"187",36.3163,-86.3974,"US TVA GALLATIN FOSSIL PLANT","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)"
"188",42.609636,-82.822199,"U.S. DOD, USAF SELFRIDGE AIR NATIONAL GUARD BASE MI","ETHYLBENZENE"
"189",31.354604,-110.962932,"US CBP NOGALES BORDER PATROL STATION & RANGE #AZ0047","LEAD"
"190",39.38954,-75.15985,"US BUREAU OF PRISONS FEDERAL CORRECTIONAL INSTITUTION","LEAD"
"191",37.812615,-81.125421,"FEDERAL CORRECTIONAL INSTITUTION BECKLEY","LEAD"
"192",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)"
"193",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","HYDROGEN FLUORIDE"
"194",37.93581,-75.469901,"US NASA GSFC WALLOPS FLIGHT FACILITY","NAPHTHALENE"
"195",48.432192,-101.360254,"US DOD USAF MINOT AFB","LEAD"
"196",34.67643,-120.50558,"FCC LOMPOC","LEAD"
"197",38.703037,-77.150418,"US ARMY GARRISON FORT BELVOIR","NAPHTHALENE"
"198",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","ALUMINUM (FUME OR DUST)"
"199",63.900543,-145.726776,"US ARMY DONNELLY TRAINING AREA","COPPER"
"200",36.3163,-86.3974,"US TVA GALLATIN FOSSIL PLANT","BARIUM COMPOUNDS"
"201",35.67238,-75.89237,"U.S. DOD, USAF, DARE COUNTY BOMB RANGE","LEAD COMPOUNDS"
"202",48.344219,-122.6637,"US NAVY NAS WHIDBEY ISLAND AULT FIELD","N-METHYL-2-PYRROLIDONE"
"203",31.359389,-97.667194,"US ARMY FORT HOOD RANGE FACILITY","PHOSPHORUS (YELLOW OR WHITE)"
"204",31.359389,-97.667194,"US ARMY FORT HOOD RANGE FACILITY","COPPER"
"205",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","COPPER COMPOUNDS"
"206",35.349475,-77.968849,"U.S. DOD, USAF, SEYMOUR JOHNSON AFB","LEAD"
"207",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","ZINC COMPOUNDS"
"208",37.151972,-88.777324,"US TVA SHAWNEE FOSSIL PLANT","MANGANESE COMPOUNDS"
"209",35.0741,-90.1488,"US TVA ALLEN FOSSIL PLANT","ZINC COMPOUNDS"
"210",35.323441,-120.729721,"US ARMY NATIONAL GUARD CAMP SAN LUIS OBISPO RANGES","LEAD"
"211",28.92,-95.36996,"US DOE BRYAN MOUND SPR SITE","N-HEXANE"
"212",37.259202,-86.978066,"US TVA PARADISE FOSSIL PLANT","BENZO(G,H,I)PERYLENE"
"213",31.465734,-92.441527,"FEDERAL CORRECTIONAL COMPLEX  POLLOCK","LEAD"
"214",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","NITROGLYCERIN"
"215",33.754737,-118.0648,"U.S. NAVY NAVAL WEAPONS STATION SEAL BEACH","LEAD"
"216",48.344219,-122.6637,"US NAVY NAS WHIDBEY ISLAND AULT FIELD","LEAD"
"217",39.100925,-76.725597,"FORT GEORGE G MEADE","LEAD"
"218",40.13181,-87.5924,"VA ILLIANA HEALTH CARE SYSTEM","LEAD"
"219",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","ZINC COMPOUNDS"
"220",47.516185,-111.190594,"US DOD USAF MALMSTROM AFB","LEAD"
"221",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","AMMONIA"
"222",32.698333,-117.209444,"U.S. NAVAL AIR STATION NORTH ISLAND","LEAD"
